Participant ID,ChestGirth(cm),HipsGirth(cm),WaistGirth(cm)
1001,102.61044651562734,107.60098312022988,78.63
1002,101.96967787032395,111.09983641169077,108.54
1003,98.68112993917563,113.04789502646466,116.0
1004,100.85516807517716,108.15364516775662,109.85
1005,100.1291092641267,113.04789502646466,90.06
1006,100.09262599220062,102.1103741470489,104.44
1007,102.1306801585735,123.58010279571049,82.38
1008,101.11138927602484,111.09983641169077,104.51
1009,98.84633809630779,118.41060719742049,94.96
1010,99.84374132468092,118.41060719742049,108.82
1011,97.53801188185828,113.73498997015135,76.39
1012,100.89851750804567,107.60098312022988,92.98
1013,96.56434662093135,119.31633477254606,88.9
1014,96.90672221642622,112.38072863224863,88.9
1015,98.78503186795847,112.38072863224863,78.74
1016,102.31265125295302,106.0039075733911,86.36
1017,101.11138927602484,103.51581612842176,91.44
1018,93.83985161649734,136.0603691797302,76.2
1019,93.83985161649734,136.0603691797302,76.2
1020,101.33518107421946,106.0039075733911,76.2
1021,96.97233115281209,123.58010279571049,96.52
1022,99.19946930724987,119.31633477254606,68.58
1023,98.84633809630779,108.15364516775662,83.82
