Participant ID,ChestGirth(cm),HipsGirth(cm),WaistGirth(cm)
1001,86.76,91.88499999999999,78.63
1002,115.76,117.7,108.54
1003,117.48,128.26,116.0
1004,108.13,112.02,109.85
1005,98.37,128.26,90.06
1006,113.4,121.15,104.44
1007,86.5,114.71000000000001,82.38
1008,105.735,117.7,104.51
1009,95.03999999999999,101.215,94.96
1010,122.81,101.215,108.82
1011,91.12,100.98,76.39
1012,99.26,91.88499999999999,92.98
1013,99.06,99.06,88.9
1014,96.52,110.49000000000001,88.9
1015,96.52,110.49000000000001,78.74
1016,96.52,102.87,86.36
1017,105.735,134.62,91.44
1018,85.09,158.75,76.2
1019,85.09,158.75,76.2
1020,86.36,102.87,76.2
1021,111.76,114.71000000000001,96.52
1022,86.36,99.06,68.58
1023,95.03999999999999,112.02,83.82
